name,facebook,linkedin
Augnitive, https://www.facebook.com/augqnitive, https://www.linkedin.com/company/augqnitive/
Advanced Software Development, https://www.facebook.com/advancedsoftware, https://www.linkedin.com/company/advanced-software-development/
Datasys Limited, https://www.facebook.com/datasysbd, https://www.linkedin.com/company/datasysbd/about/
BTS Software Technologies Ltd., https://www.facebook.com/BTSSoftwareBD, https://www.linkedin.com/company/btssoftbd/
BRAC IT Services Limited, https://www.facebook.com/bracits, https://www.linkedin.com/company/brac-it/
Nextzen Limited, https://www.facebook.com/nextzen, https://www.linkedin.com/company/nextzen/
IOTA Infotech Ltd., https://www.facebook.comi/iotait.tech, https://www.linkedin.com/company/iota-infotech-limited/
The Databiz Software Limited, https://www.facebook.com/DatabizSoftwareLtd, https://www.linkedin.com/company/databiz-software-limited/about/
Pridesys IT Ltd., https://www.facebook.com/Pridesys, https://www.linkedin.com/company/pridesys-it-Itd/
Aplectum Solutions Ltd., https://www.facebook.com/aplectrumsolutionsltd, https://www.linkedin.com/company/aplectrum/
weDevs, https://www.facebook.com/weDevs, https://www.linkedin.com/company/wedevs/
Skylark Soft Limited, https://www.facebook.com/skylarksoft, https://www.linkedin.com/company/skylark-soft-limited/
Spring Rain Private Ltd., https://www.facebook.com/springrainltd, https://www.linkedin.com/company/spring-rain/
Arrowsoft, https://www.facebook.com/ArrowSoftBd, https://www.linkedin.com/company/arrowsoft.co/
Softology IT, https://www.facebook.com/Softoloqylt, https://www.linkedin.com/company/softology-it/
DevsZone, https://www.facebook.com/devszone, https://www.linkedin.com/company/devszone/about/
TopOfStack Software, https://www.facebook.com/TopOfStackSoftware, https://www.linkedin.com/company/topofstack-software/
Prime Tech Solutions Ltd., https://www.facebook.com/primetechbd, https://www.linkedin.com/company/prime-tech-bd-solutions-ltd/
Bitspeck Solutions, https://www.facebook.com/bitspeck, https://www.linkedin.com/company/bitspeck/
Data Edge Limited, https://www.facebook.com/dataedgelimited, https://www.linkedin.com/company/data-edge-limited/
Techdyno BD, https://www.facebook.com/techdynobd, https://www.linkedin.com/company/techdynobd/
Vantage Labs, https://www.facebook.com/VantageLabsDhaka, https://www.linkedin.com/company/vantage-labs-llc/about/
REXO IT, https://www.facebook.com/rexoit, https://www.linkedin.com/company/rexoit/
Annanovas IT Ltd., https://www.facebook.com/AnnaNovas, https://www.linkedin.com/company/annanovas/
SI2 Limited, https://www.facebook.com/si2limited, https://www.linkedin.com/company/si2-limited/
Orangebd, https://www.facebook.com/orangebdltd, https://www.linkedin.com/company/orangebd/
Structured Data Systems Limited, https://www.facebook.com/Structured-Data-Systems-Limited-133331513434529, https://www.linkedin.com/company/structured-data-systems-limited/about/
Atom AP Limited, https://www.facebook.com/AtomAPLimited, https://www.linkedin.com/company/atom-ap-sdn-bhd/
Euro Bangla IT, https://www.facebook.com/eurobanglaiT, https://www.linkedin.com/company/euro-bangla-it/
Elegance IT Solution, https://www.facebook.com/elegance00000001, https://www.linkedin.com/company/eleqanceitbd/
TechCare, https://www.facebook.com/TechCare.co, https://www.linkedin.com/company/techcareco/
DataCraft Ltd., https://www.facebook.com/datacraftbd, https://www.linkedin.com/company/datacraft-limited/about/
UniSoft Systems Limited, https://www.facebook.com/unisoftsystemsltd, https://www.linkedin.com/company/unisoft-systems-lItd/
Bdultrasoft, https://www.facebook.com/bdultrasoft, https://www.linkedin.com/company/bdultrasoft/about/
Xerone IT, https://www.facebook.com/xeroneit, https://www.linkedin.com/company/xeroneit/
Logic Software Limited, https://www.facebook.com/logicsoftwareltd, https://www.linkedin.com/company/logicsoftbd/
TechnoVista Limited, https://www.facebook.com/technovista.bd, https://www.linkedin.com/company/technovista.bd/
Vivasoft Limited, https://www.facebook.com/Vivasoft-Limited-256 260524900071, https://www.linkedin.com/company/vivasoftlimited/
Nerd Castle Limited, https://www.facebook.com/NerdCastle, https://www.linkedin.com/company/nerdcastle-limited/about/
